hour,actual,predicted,residual
530,10.700001,29.593971,18.89397
531,8.6,29.599953,20.999952
532,11.5,29.605667,18.105667
533,10.4,29.610281,19.210281
534,10.5,29.603191,19.103191
535,12.299999,29.595367,17.295368
536,16.199999,29.575327,13.375328
537,20.2,29.544695,9.344694
538,14.6,29.508112,14.908112
539,13.599999,29.472569,15.872569
540,10.700001,29.435099,18.735098
541,10.700001,29.402206,18.702206
542,13.1,29.368965,16.268965
543,8.3,29.348883,21.048882
544,11.9,29.340189,17.44019
545,12.8,29.341179,16.54118
546,11.7,29.346128,17.64613
547,9.5,29.35371,19.85371
548,5.7999997,29.355734,23.555735
549,6.3,29.348776,23.048775
550,3.8999999,29.340368,25.440369
551,4.9,29.32992,24.42992
552,6.5,29.312227,22.812227
553,7.8999996,29.294823,21.394823
554,4.5,29.277012,24.777012
555,7.8999996,29.259735,21.359735
556,3.8999999,29.249546,25.349546
557,5.2,29.242207,24.042206
558,3.8999999,29.237312,25.337313
559,6.0,29.22721,23.22721
560,6.3,29.210478,22.910477
561,0.7,29.190128,28.490128
562,5.4,29.174618,23.774618
563,2.7,29.15361,26.45361
564,3.3999999,29.136742,25.736742
565,3.0,29.116564,26.116564
566,7.2000003,29.10268,21.90268
567,7.2000003,29.107649,21.907648
568,7.2000003,29.128258,21.928257
569,7.2000003,29.165123,21.965122
570,5.9,29.196245,23.296246
571,2.4,29.228432,26.828432
572,0.49999997,29.254116,28.754116
573,3.5000002,29.269844,25.769844
574,6.3,29.279467,22.979465
575,2.3,29.285036,26.985037
576,3.6000001,29.285894,25.685894
577,0.90000004,29.285246,28.385246
578,12.299999,29.275179,16.97518
579,19.9,29.267385,9.367386
580,4.7,29.255722,24.555721
581,1.9,29.248844,27.348845
582,2.4,29.24406,26.84406
583,3.6000001,29.230917,25.630917
584,0.6,29.207909,28.607908
585,1.5,29.182976,27.682976
586,1.3,29.158901,27.858902
587,1.3,29.134367,27.834368
588,1.3,29.114113,27.814114
589,2.5,29.102362,26.602362
590,3.3,29.098204,25.798204
591,5.7999997,29.10741,23.307411
592,18.4,29.131847,10.731848
593,20.300001,29.17423,8.874229
594,14.200001,29.21458,15.01458
595,11.9,29.249474,17.349474
596,26.099998,29.275467,3.1754684
597,1.4,29.295467,27.895468
598,5.4,29.307787,23.907787
599,9.299999,29.309633,20.009634
600,0.3,29.30915,29.009151
601,3.6000001,29.307468,25.707468
602,3.1,29.30543,26.20543
603,5.7999997,29.306091,23.506092
604,5.7999997,29.3159,23.515902
605,5.7999997,29.342323,23.542324
606,9.299999,29.355513,20.055513
607,8.3,29.355854,21.055855
608,1.6,29.3386,27.7386
609,2.8,29.310423,26.510424
610,5.7999997,29.284416,23.484417
611,4.3,29.263096,24.963097
612,7.1000004,29.243578,22.143578
613,3.6000001,29.223293,25.623293
614,8.099999,29.210018,21.11002
615,7.4,29.208658,21.808659
616,18.199999,29.216797,11.016798
617,16.3,29.244068,12.944069
618,11.4,29.279682,17.879683
619,4.3,29.314005,25.014004
620,4.7,29.338821,24.63882
621,4.8,29.357271,24.55727
622,5.2,29.372913,24.172913
623,4.4,29.385427,24.985428
624,4.6,29.392233,24.792233
625,5.2,29.4036,24.203602
626,5.7,29.414883,23.714882
627,5.7999997,29.434502,23.634502
628,1.3,29.460606,28.160606
629,11.3,29.498983,18.198982
630,9.8,29.517447,19.717445
631,10.700001,29.510744,18.810743
632,10.700001,29.486876,18.786875
633,10.700001,29.454596,18.754595
634,10.700001,29.420065,18.720064
635,10.700001,29.38427,18.684269
636,2.8,29.35556,26.555561
637,7.7,29.335537,21.635536
638,11.5,29.32716,17.82716
639,7.2000003,29.335455,22.135454
640,13.0,29.367575,16.367575
641,13.0,29.425379,16.425379
642,14.8,29.49735,14.6973505
643,17.4,29.562214,12.162214
644,15.1,29.613451,14.513451
645,13.7,29.66117,15.961169
646,10.5,29.702335,19.202335
647,9.0,29.731585,20.731585
648,12.4,29.759264,17.359264
649,8.400001,29.786346,21.386345
650,9.299999,29.806,20.506
651,12.6,29.83267,17.23267
652,8.5,29.85716,21.35716
653,10.1,29.887236,19.787235
654,16.6,29.914112,13.314112
655,11.5,29.915989,18.415989
656,19.3,29.889381,10.589382
657,15.599999,29.836702,14.236703
658,20.0,29.774282,9.774282
659,17.8,29.716427,11.916428
660,18.8,29.664434,10.864435
661,15.1,29.616201,14.516201
662,17.1,29.58143,12.48143
663,4.2000003,29.560946,25.360945
664,1.8000001,29.563831,27.763832
665,10.2,29.586138,19.386139
666,5.7999997,29.621292,23.821293
667,5.9,29.662102,23.762102
668,4.6,29.691671,25.091671
669,4.6,29.715431,25.11543
670,1.9999999,29.731369,27.731369
671,7.0000005,29.741547,22.741547
672,1.6999999,29.747587,28.047586
673,3.5000002,29.747845,26.247845
674,3.5000002,29.749296,26.249296
675,3.5000002,29.757183,26.257183
676,1.8000001,29.770039,27.97004
677,3.7,29.7873,26.0873
678,3.7,29.79568,26.095678
679,3.7,29.790506,26.090506
680,3.1,29.775646,26.675646
681,2.5,29.746157,27.246157
682,3.3999999,29.708204,26.308205
683,0.8,29.671366,28.871367
684,0.8,29.632755,28.832756
685,0.8,29.5948,28.794802
686,4.2000003,29.568316,25.368315
687,2.2,29.55011,27.35011
688,2.4,29.549936,27.149937
689,9.2,29.575237,20.375237
690,9.8,29.597706,19.797707
691,4.5,29.61204,25.11204
692,3.3,29.629005,26.329006
693,3.7,29.639303,25.939302
694,8.200001,29.645449,21.445448
695,9.5,29.639896,20.139896
696,3.3,29.629856,26.329857
697,5.6,29.613905,24.013905
698,2.4,29.599632,27.199633
699,6.1,29.590054,23.490053
700,2.8,29.578512,26.778513
701,0.4,29.555475,29.155476
702,6.7999997,29.523499,22.7235
703,3.8999999,29.484844,25.584845
704,6.6,29.439047,22.839046
705,1.2,29.394217,28.194216
706,0.49999997,29.358208,28.858208
707,3.3999999,29.322567,25.922567
708,3.7,29.294954,25.594954
709,4.3,29.275335,24.975334
710,2.4,29.259417,26.859417
711,7.2000003,29.25533,22.055328
712,2.3,29.27323,26.97323
713,3.3999999,29.300798,25.900799
714,3.6000001,29.333073,25.733072
715,6.5,29.358166,22.858166
716,2.8,29.371408,26.57141
717,6.3,29.37746,23.077461
718,7.8999996,29.380178,21.480179
719,3.9999998,29.374464,25.374464
720,1.6,29.362953,27.762953
721,9.5,29.34524,19.84524
722,10.0,29.329187,19.329187
723,7.4,29.312319,21.91232
724,2.8,29.292086,26.492086
725,5.2999997,29.272955,23.972956
726,8.400001,29.257793,20.857792
727,7.4,29.24889,21.84889
728,7.2000003,29.239569,22.039568
729,8.7,29.230286,20.530285
730,9.099999,29.217037,20.117039
731,5.5,29.199192,23.699192
732,7.5,29.17751,21.67751
733,5.6,29.16315,23.56315
734,7.5,29.150702,21.650702
735,6.8999996,29.14589,22.24589
736,2.6,29.151432,26.551432
737,6.7,29.160505,22.460506
738,4.8,29.169273,24.369274
739,6.7999997,29.170862,22.370863
740,0.7,29.16745,28.46745
741,4.5,29.161448,24.661448
742,5.7,29.159586,23.459587
743,3.3,29.155977,25.855978
744,2.1000001,29.153044,27.053043
745,0.1,29.145494,29.045494
746,2.5,29.141588,26.641588
747,0.4,29.134415,28.734415
748,0.49999997,29.132198,28.632198
749,0.0,29.133812,29.133812
750,2.6,29.134035,26.534035
751,2.6,29.130009,26.530008
752,1.8000001,29.118824,27.318825
753,2.7,29.102167,26.402166
754,4.1000004,29.083761,24.98376
755,4.2000003,29.069374,24.869373
756,4.2000003,29.059685,24.859684
757,3.6000001,29.05288,25.452879
758,0.6,29.055958,28.455957
759,0.3,29.072021,28.772022
760,4.2000003,29.101202,24.901201
761,4.2000003,29.133532,24.93353
762,4.2000003,29.16094,24.96094
763,3.8,29.181515,25.381516
764,1.8000001,29.196579,27.39658
765,0.99999994,29.199554,28.199554
766,3.0,29.198023,26.198023
767,2.5,29.197763,26.697763
768,4.8,29.194788,24.394787
769,5.7999997,29.192333,23.392334
770,2.5,29.191092,26.691092
771,3.2,29.201061,26.00106
772,1.6999999,29.216106,27.516106
773,5.2999997,29.234348,23.93435
774,2.6,29.249802,26.649801
775,1.3,29.258127,27.958128
776,2.5,29.24951,26.74951
777,5.5,29.232552,23.732552
778,0.7,29.213238,28.513237
779,3.3,29.19164,25.891642
780,2.3,29.17127,26.871271
781,2.8999999,29.15916,26.259161
782,3.5000002,29.158585,25.658585
783,2.8,29.171417,26.371418
784,1.9999999,29.203094,27.203094
785,3.8999999,29.240578,25.340578
786,6.0,29.28224,23.28224
787,3.0,29.322685,26.322685
788,5.9,29.357378,23.457378
789,5.4,29.387056,23.987057
790,3.8999999,29.411287,25.511288
791,4.8,29.43344,24.633438
792,3.3,29.447628,26.147629
793,2.7,29.45886,26.75886
794,0.1,29.471382,29.371382
795,2.7,29.488623,26.788622
796,0.49999997,29.510725,29.010725
797,0.49999997,29.544771,29.044771
798,0.49999997,29.569061,29.069061
799,2.7,29.573399,26.873398
800,1.6,29.547195,27.947195
801,5.7999997,29.517254,23.717255
802,5.7999997,29.482277,23.682278
803,4.9,29.451044,24.551044
804,5.2,29.428368,24.228367
805,3.1,29.412489,26.312489
806,5.7,29.395523,23.695522
807,5.4,29.407503,24.007504
808,13.3,29.453726,16.153725
809,6.7,29.512682,22.812683
810,10.0,29.580198,19.580198
